"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
2001,101.4,79,169.7,164.3,286.3,273.3,255.1,199.3,225,208.7,217.7,176,620.3,727.7,651.4,326,2355.8
2002,71.2,78.8,205.5,297.2,347.1,340.6,306.4,213.9,228.4,227.1,188.8,158.9,849.9,860.9,644.3,321.2,2663.9
2003,61.5,100.9,159.9,257.1,249.8,350.6,246.4,226,244.8,269.8,277.5,158.4,666.8,823,792.1,364.4,2602.7
2004,95.2,110.8,128.8,272.5,325.8,227.9,276.6,237.2,259,256.4,250.1,135.1,727.1,741.7,765.4,374,2575.3
2005,102.6,136.4,163.4,229.5,348.7,272.1,230.5,270.7,210.6,285.6,235.6,171.4,741.6,773.4,731.8,428,2657.1
2006,158.3,98.3,233.5,249.2,330.8,325.6,262.7,207.9,184.2,263.8,205.5,156.5,813.5,796.1,653.6,310.1,2676.3
2007,94,59.5,188.3,292,317.1,284.1,272.5,320.9,227.3,312.7,212.2,181,797.4,877.6,752.3,419.5,2761.8
2008,104,134.5,168.9,244.9,385.9,325.8,360.7,321.9,235,245.5,279.4,158.1,799.8,1008.5,759.9,411.7,2964.8
2009,136,117.6,226.9,196.9,237.5,295.9,227,254.1,171.7,233.6,155.5,124,661.3,777,560.8,262.2,2376.7
2010,53.4,84.8,156.6,291.5,321.6,345.5,348.4,240.5,290.9,244.7,311.3,227,769.7,934.4,846.9,479.3,2916.1
2011,97.9,154.4,188.3,316.9,376.8,341.2,317,216.5,262.7,277.7,286.1,240.8,882,874.6,826.5,483.2,3076.2
2012,120.3,122.1,185.6,279.8,269.5,225,222.4,210.7,179.6,256.3,183.1,127.3,734.9,658.1,619.1,359.4,2381.8
2013,68.2,164,153.2,204.8,343.8,215.9,192.3,277.1,229,202.8,204.4,142.2,701.7,685.3,636.3,357.4,2397.7
2014,96.9,118.4,147.8,206.9,273.9,248.3,202.8,205.3,206.9,247.1,206.1,159,628.5,656.4,660.1,360.3,2319.2
2015,98.3,103,186.9,201.3,199.7,247.3,222.7,178.7,164.7,168.2,181.4,84,587.9,648.7,514.4,213.5,2036.3
2016,58.5,70.9,154.3,248.4,250.7,214.8,256.6,227.9,239,239.1,221.7,181.5,653.4,699.2,699.7,423.6,2363.4
2017,113.8,128.3,198.8,247.3,378.6,289.2,210.3,265.9,206,239.9,199.1,122.2,824.7,765.3,645,324.4,2599.3
2018,121,81.1,138.8,238.7,331.5,294.7,256,219.7,244.4,256.4,197,89.2,709,770.4,697.8,267.8,2468.5
2019,89.8,88.9,162.6,226.5,319.5,257.3,216.2,189.2,254.9,238.4,199.5,128.1,708.6,662.6,692.8,308.4,2370.8
2020,79.1,101.2,129.9,185,245.2,296.8,351.8,257.1,249.1,177.4,217.5,156.4,560.2,905.7,643.9,382.6,2446.5
2021,110.1,116.2,213.1,241.9,283.6,314.9,258.5,294.4,215.5,247.5,212.8,112.1,738.6,867.8,675.8,348.8,2620.7
2022,85.5,151.2,188.1,257.3,277,393.1,303.4,232.4,266.6,272.1,269.5,117.2,722.5,928.9,808.2,360.2,2813.4
2023,158.3,84.6,183.4,253.6,270.2,243,273.6,225,181.8,250.7,165.9,136.7,707.2,741.6,598.4,327.4,2427
2024,62.3,128.4,128.4,237.7,330,375.2,259.9,207,173.6,215.6,229.6,172.5,696.1,842.1,618.8,350.99593495935,2520.2
