"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
2008,87.3,77,61.2,31.6,31.2,22.5,21.5,24.5,23.3,47.1,50.5,49.9,124,68.6,120.9,164,527.7
2009,47.3,66.8,53.4,23.7,37.5,16.7,24.4,20.8,35.3,31.7,78.9,98.4,114.7,61.9,145.9,267.4,535
2010,65,104.1,69.3,32.5,44,23.4,28.2,14.4,41.4,36.5,36.2,60.1,145.9,66,114,237.1,555.1
2011,84.1,92.8,50.5,52.5,24.3,30.5,28.4,18.5,19,58.2,61.2,42.4,127.4,77.4,138.4,187.3,562.5
2012,56.1,88.8,58.4,50.8,37.8,21.4,9.9,41.9,28.2,82.8,54.4,92.1,147,73.1,165.4,208.3,622.6
2013,54.9,61.3,61.1,41.9,39.5,23.6,22.3,16.4,29.3,58.6,63.9,47.4,142.5,62.3,151.8,222.7,520.2
2014,83,92.2,71,74.8,50,34.7,34,19.9,46.8,55.7,64.4,80,195.9,88.6,166.9,248.6,706.6
2015,85.5,83.1,56.9,52.6,40.1,26.4,26.5,47.9,21.3,56.3,68.8,82.1,149.5,100.8,146.4,273.1,647.3
2016,89.8,101.2,49,82.4,32.5,33.7,24.7,21.4,17.3,78.1,54.3,76.8,164,79.8,149.6,216.9,661.3
2017,61.2,78.9,81.9,81.7,51.8,29.9,21.1,36.3,39.8,45.9,43.8,62.5,215.3,87.4,129.5,178.6,634.8
2018,76.6,39.5,47.5,47.1,61.1,18,27.4,15.9,43,58.5,85,78.4,155.7,61.2,186.5,229.2,597.9
2019,102.9,47.9,77.7,56.7,49.4,35.1,21.3,12.7,15.1,46.1,62.3,64.6,183.7,69.1,123.4,203.9,591.6
2020,69.7,69.5,57.7,42.3,25.3,34.9,23.4,11.5,21.5,33.9,49.9,56.6,125.3,69.8,105.3,197.5,496.2
2021,92.1,48.8,77.4,57.1,33.9,23,10.7,17,33.6,33.7,65.2,45.1,168.4,50.7,132.5,182.3,537.6
2022,71.8,65.4,70.9,50.6,18.7,16,22.1,19,22,39.5,42.2,39.4,140.2,57.2,103.7,141,477.7
2023,61.5,40.1,67.6,38.5,40.5,24.8,25.3,23.8,30.1,43.1,64.2,103.1,146.6,73.8,137.4,241.8,562.5
2024,56.9,81.8,76.6,87,27.1,25.9,8.3,29.7,17.7,60,74.2,53.8,190.7,63.9,151.8,198.813008130081,598.9
